Result,WhiteElo,BlackElo,Event_enc,ECO_enc,Termination_enc,TimeControl_enc
1,1902,1938,3,302,0,0
1,1875,1500,3,4,0,0
2,1500,1891,3,0,1,0
2,1584,1754,3,241,0,0
1,1420,1655,3,42,0,0
1,1875,1655,3,127,0,0
2,1308,1738,3,112,0,0
1,1552,1533,3,101,0,0
1,1626,1423,3,223,0,0
2,1885,1938,3,7,1,0
1,1688,1603,3,244,0,0
3,1466,1700,3,25,0,0
2,1694,2008,3,202,0,0
2,2008,2110,3,469,0,0
1,1505,1720,3,108,0,0
2,1500,1500,3,110,0,0
2,1720,2015,3,241,0,0
1,1667,1343,3,40,0,0
1,1733,1500,3,106,1,0
3,1500,1500,3,227,0,0
1,1771,1603,3,310,0,0
1,1490,1572,3,0,1,0
2,1967,1967,3,253,1,0
1,1727,1287,3,223,0,0
3,1967,1987,3,331,0,0
2,1255,1761,3,300,0,0
1,1356,1611,3,220,1,0
1,1940,1571,3,200,0,0
2,1588,1581,3,246,0,0
2,1515,1588,3,41,0,0
1,1784,1233,3,220,0,0
2,1535,1655,3,10,0,0
2,1500,1655,3,130,0,0
1,1772,1733,3,241,0,0
1,1944,1575,3,200,0,0
1,1488,1557,3,220,0,0
1,1912,1772,3,394,0,0
2,1275,1588,3,122,1,0
2,1640,1667,3,344,1,0
1,1761,1562,3,107,0,0
2,1433,1689,3,0,0,0
2,2110,2076,3,343,0,0
1,2145,2071,3,227,1,0
2,1603,1784,3,220,1,0
1,1572,1640,3,302,1,0
1,1572,1275,3,320,1,0
2,1466,1654,3,300,0,0
2,1543,1502,3,240,0,0
1,1570,1319,3,300,0,0
2,1772,1649,3,202,0,0
1,1570,1590,3,300,0,0
3,1597,1506,3,244,0,0
1,1649,1772,3,246,0,0
1,1653,1444,3,200,0,0
1,1662,1458,3,300,0,0
2,2045,1967,3,13,0,0
2,1451,1670,3,215,0,0
2,1319,1500,3,300,0,0
2,1785,1790,3,301,0,0
1,1389,1631,3,300,0,0
